Name,Symbol,Exchange,Price
Zensar Tech,ZENT,BSE,248.1
Vedavaag Systems,VEDA,BSE,22
VAMA Industries,VAMA,BSE,8.53
Trigyn Technologies Ltd,TRIG,BSE,59
Trejhara Solutions,TREJ,BSE,17.25
Larsen & Toubro Infotech,LRTI,BSE,1.60K
NIIT Technologies,NITT,BSE,1.32K
Onward Technologies Ltd,OTEC,BSE,67.55
Hexaware Technologies,HEXT,BSE,355.05
Saven Tech,SAVT,BSE,17
Quick Heal Tech,QUIC,BSE,161
HCL Tech,HCLT,BSE,1.02K
ASM Tech,ASMT,BSE,109
Tech Mahindra,TEML,BSE,675.5
Tata Consultancy,TCS,BSE,2.13K
Tata Elxsi,TTEX,BSE,854
Take Solutions Ltd,TAKE,BSE,121
Cybertech Systems Software,CTSS,BSE,52.6
R Systems International Ltd,RSYS,BSE,44.55
Persistent Systems,PERS,BSE,614
Sonata Software,SOFT,BSE,359.9
Aurionpro Solutions Ltd,APSL,BSE,104.2
Accelya Solutions,ACCY,BSE,858
Expleo Solutions,EXPL,BSE,378.5
Nucleus Software Exports Ltd,NSEL,BSE,326.3
Datamatics Global Services Ltd,DATC,BSE,91.95
Saksoft Ltd,SAKS,BSE,317
SAGARSOFT India,SAGO,BSE,79.9
Oracle,ORCL,BSE,3.23K
OnMobile Global,ONMO,BSE,32.3
Mphasis,MBFL,BSE,942.3
Mindteck India,MDTK,BSE,41.05
Mastek,MAST,BSE,461.65
Bodhtree Consulting Ltd,BODH,BSE,40.6
ABM Knowledgeware,ABMK,BSE,56.95
Genesys International Corp,GENS,BSE,101.05
Infosys,INFY,BSE,715.4
ADCC Infocad,CEIS,BSE,94
COSYN,COSN,BSE,31.25
Birlasoft,BIRS,BSE,81.6
Atishay,ATIS,BSE,61
